                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00046641,             0.00046641,             0.00046641
                      2,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00092408,             0.00092408,             0.00092408
                      3,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0013629,              0.0013629,              0.0013629
                      4,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      5,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0013441,              0.0013441,              0.0013441
                      6,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0013158,              0.0013158,              0.0013158
                      7,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0012875,              0.0012875,              0.0012875
                      8,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0012592,              0.0012592,              0.0012592
                      9,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0012309,              0.0012309,              0.0012309
                     10,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0012026,              0.0012026,              0.0012026
                     11,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0011744,              0.0011744,              0.0011744
                     12,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0011461,              0.0011461,              0.0011461
                     13,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0011178,              0.0011178,              0.0011178
                     14,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0010895,              0.0010895,              0.0010895
                     15,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0010612,              0.0010612,              0.0010612
                     16,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0010329,              0.0010329,              0.0010329
                     17,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0010046,              0.0010046,              0.0010046
                     18,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,                    nan,             0.00097629,             0.00097629,             0.00097629
